ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
BAB00609__AB045980.2	AB045980.2_Japanese flounder nervous necrosis virus	43762	Japanese flounder nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AB045980.2	unclassified Betanodavirus	unclassified Betanodavirus	AB045980.2_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	BAB00609	AB045980.2	BAB00609,AOY34675,AOY34609,AOY34608,AOY34607,AOY34606,AOY34605,AOY34604,AOY34603,AOY34602,AOY34601,AOY34600,ANW82544,ANW82534,ANW82533,ANW82529,ANW82523,ANW82522,ANW82521,CAC14776,ABF13588,ABF13584,ABU88464
ADV60033__HQ287005.1	HQ287005.1_Macrobrachium rosenbergii nodavirus	222557	Macrobrachium rosenbergii nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	HQ287005.1	undef	unclassified Nodaviridae	HQ287005.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ADV60033	HQ287005.1	ADV60033,AEB78149,AEB78148,AEB78147,AEB78146,AEB78145
YP_009175042__JQ943580	JQ943580_Le Blanc nodavirus	1241918	Le Blanc nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	JQ943580	undef	unclassified Nodaviridae	JQ943580_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	YP_009175042	JQ943580	YP_009175042,YP_009175041,AFU90717
CAA25469.1__X00956.1	X00956.1_Black beetle virus	12285	Black beetle virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	X00956.1	undef	Alphanodavirus	X00956.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	CAA25469.1	X00956.1	NP_049330,QQBB2G,CAA25469,CAA25469.1
ASM94002__MF189982.1	MF189982.1_Millport beadlet anemone noda-like virus 1	2021922	Millport beadlet anemone noda-like virus 1	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	MF189982.1	undef	unclassified Nodaviridae	MF189982.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ASM94002	MF189982.1	ASM94002
AEQ39077__JF461542.1	JF461542.1_Flock house virus	12287	Flock house virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	JF461542.1	undef	Alphanodavirus	JF461542.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	AEQ39077	JF461542.1	AEQ39077
ACJ09456__FJ379530.1	FJ379530.1_Macrobrachium rosenbergii nodavirus	222557	Macrobrachium rosenbergii nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	FJ379530.1	undef	unclassified Nodaviridae	FJ379530.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ACJ09456	FJ379530.1	ACJ09456
ABB71128__DQ233638.1	DQ233638.1_Wuhan nodavirus	356127	Wuhan nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	DQ233638.1	unclassified Betanodavirus	unclassified Betanodavirus	DQ233638.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ABB71128	DQ233638.1	ABB71128,ABB71128.1
AAQ90063.1__AY324870.1	AY324870.1_Sevenband grouper nervous necrosis virus	247507	Sevenband grouper nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	AY324870.1	Redspotted grouper nervous necrosis virus	Redspotted grouper nervous necrosis virus	AY324870.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	AAQ90063.1	AY324870.1	AOC89549,ASO75590,ASO75589,ARO92012,YP_611157,ALL27039,AKE78835,AKG62085,AGV28568,AIK23438,AIA22873,AIM56849,AIN44037,AEF79798,AEF79797,AEF79796,AEF79795,AEF79794,AEF79793,AEF79792,AEF79791,AEF79790,AEF79789,AEF79788,AEF79787,AEF79786,AEF79785,AEF79784,AEF79783,AEF79782,AET07096,AGN03790,ABU46390,AEK48134,AEK48133,AEK48132,AEK48131,AEK48130,AEK48129,AEK48128,AEK48127,AEK48126,AEK48125,AEK48124,AEK48123,AEK48122,AEK48121,AEK48120,AEK48119,AEK48118,AEK48117,AEK48116,AEK48115,AEK48114,AEK48113,AEK48112,AEK48111,AEK48110,AEK48109,AEK48108,AEK48107,AEK48106,AEK48105,AEK48104,AEK48103,ACX54066,ADB97627,ACR81580,ADM18138,CBW30578,AAQ90063,AAG22496,AAK21876,ADF32948,ADF30196,ADF30195,ADD91329,ACV07659,ACV07657,AAO61198,AAG22495,ACN94263,AAQ19771,AAQ19770,AAQ19769,AAQ19768,AAQ19767,AAQ19766,AAQ19765,AAQ19764,AAQ19763,AAQ19762,AAQ19761,AAQ19760,AAQ19759,ACX71284,ABI23438,AAZ23225,AAZ23224,AAZ23223,AAZ23222,AAL78765,AAN04042,AAW32086,BAF95885,ACB21052,AAT35534,AAV97943,CAG27317,AAU85147,CAA69959,AAQ90063.1,AAG22496.1,AAU85147.1,AAK21876.1,AAG22495.1,CAA69959.1,AMB51358,AAT42369,AAT42368,AFS50132,ABY84057,AQV12993,AAP80590,APD76158,AFP96993,AAR99601,AAQ12273,AAQ12274,ABU88471,ABU88470,ABU88467,ABU88470.1,ACH53548,AAN39818,AAN39817,AAN39816,AAN39815,AAN39814,AAN39813,AAN39812,AAN39811,AAN39810,BAA07617,BAA07532,BAA07532.1,ACM90847,ACM90846,ACM90845,ACM90844,ACM90843,ACM90842,AAG09225,AAG09223,AAG09221,AAG09220,AAG09219,AAG09218,AAG09217,AAG09216,AAG09215,AAG09214,AFC38435,ACT21451,ACT21450,AIR07795,AIR07794,AIR07793,AIR07792,AIR07791,AIR07790,AIR07789,AIR07788,AGI42945,CCH03777,CCH03776,CCH03775,CCH03774,CCH03773,CCH03772,CCH03771,CCH03770,CCH03769,CCH03768,CCH03767,CCH03766,CCH03765,CCH03764,CCH03763,CCH03762,AFN08701,ACT37660,ACT37659,ACT37658,ABU88468,AFV60925,AFV60924,AFV60747,AOY34631,AOY34630,AOY34629,AOY34628,AOY34627,AOY34626,AOY34625,AOY34624,AOY34623,AOY34622,AOY34621,AOY34620,AOY34619,AOY34618,AOY34617,AOY34616,AOY34615,AOY34614,AOY34613,AOY34612,AOY34611,AOY34599,AOY34598,AOY34597,AOY34596,AOY34595,AOY34594,ANW82547,ANW82546,ANW82543,ANW82542,ANW82539,ANW82538,ANW82537,ANW82532,ANW82531,ANW82524,ARO92018,4RFTHH,4RFTGG,4RFTFF,4RFTEE,4RFTDD,4RFTCC,4RFTBB,4RFTAA,4RFT9,4RFT8,4RFT7,4RFT6,4RFT5,4RFT4,4RFT3,4RFT2,4RFT1,4RFT0,4RFTZ,4RFTY,4RFTX,4RFTW,4RFTV,4RFTU,4RFTT,4RFTS,4RFTR,4RFTQ,4RFTP,4RFTO,4RFTN,4RFTM,4RFTL,4RFTK,4RFTJ,4RFTI,4RFTH,4RFTG,4RFTF,4RFTE,4RFTD,4RFTC,4RFTB,4RFTA,AFV60923,AET07138,AET07137,AET07136,AET07134,AET07132,AET07131,AET07130,AET07129,AET07128,AET07127,AET07125,AET07124,AET07123,AET07122,AET07121,AET07120,AET07119,AET07118,AET07117,AET07116,AET07115,AET07113,AET07112,AET07111,AET07110,AET07109,AET07108,AET07107,AET07106,AET07105,AET07104,AET07103,AET07099,AET07097,AET07093,AET07092,AET07091,AET07090,AET07089,AET07088,AET07087,AET07086,AET07085,AET07083,AET07082,AET07081,AET07080,AET07079,AET07078,AET07077,AET07076,AET07075,AET07074,AET07073,AET07072,AET07071,AET07070,AET07069,AET07068,AET07067,AET07066,AET07065,AET07064,AET07063,AET07062,AET07061,AET07060,AET07059,AET07058,AET07057,AET07056,AET07055,AET07054,AET07053,AET07052,AET07051,AET07050,AET07049,AET07048,AET07047,AET07046,AET07045,AET07044,AET07043,AET07133,AET07126,AET07084,ARO92017,AOG18246,AIQ82292,AET07098,AFV60946,AFV60945,AFV60944,AFV60943,AFV60942,AFV60941,AFV60940,AFV60939,AFV60938,AFV60937,AFV60936,AFV60935,CAJ30009,CAJ30008,CAJ30006,CAJ30005,CAJ30004,CAJ29998,CAC14783,CAC14782,CAC14781,CAC14780,CAC14779,CAC14778,CAC14777,AFV60933,ARJ31765,AGD80032,AFH54139,AFH54138,CAJ33880,ACZ92276,BAT57305,BAT57304,BAT57303,BAT57302,BAT57301,BAT57300,BAH10663,BAH10662,BAH10661,BAH10660,BAH10659,BAH10658,BAH10657,BAH10656,BAH10655,BAH10654,BAH10653,BAH10652,BAH10651,CAG27336,CAG27335,CAG27334,CAG27333,CAG27332,CAG27331,CAG27330,4RFUC,4RFUB,4RFUA,ABF13592,ABF13591,ABF13590,ABF13587,ABF13586,ABF13585,ABF13582,ABF13581,ABF13580,ABF13579,AIK28896,AIK28895,AIK28894,AIK28893,AIK28892,AIK28891,ARQ79458,ARQ79457,ASP45393,ADX87438,ADX87436,ADX87434,ADX87433,ADX87432,ADX87430,ADX87429,ADX87428,ADX87427,ADX87426,ADX87425,ABU88469,ABU88466,AGN90596,AGN90595,AAT35535,AGN90600,AGN90599
ACF36170.1__EU826138.1	EU826138.1_Barfin flounder virus BF93Hok	546552	Barfin flounder virus BF93Hok	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Barfin flounder nervous necrosis virus	EU826138.1	Barfin flounder nervous necrosis virus	Barfin flounder nervous necrosis virus	EU826138.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Barfin flounder nervous necrosis virus	ACF36170.1	EU826138.1	AOG18247,AOG18245,AKC98253,YP_003288758,ABU95416,ABU95415,ABU95414,ABU95413,ABY87292,ACF36170,ACF36170.1,CAB53257,CAB53257.1,ABR23183,ABR23187,ABR23185,AAY34457,ABR23186,ABR23184,ABR23186.1,ABX51897,CAG27318,AAD44339,BAA07616,AAT28123,AOX12058,AOX12057,AOX12056,AOY34673,AOY34672,AOY34671,AOY34668,AOY34667,AOY34666,AOY34665,AOY34664,AOY34663,AOY34662,AOY34661,AOY34660,AOY34657,AOY34656,AOY34655,AOY34654,AOY34652,AOY34651,AOY34650,AOY34649,AOY34648,AOY34647,AOY34646,AOY34645,AOY34644,AOY34643,AOY34642,AOY34641,AOY34640,AOY34639,AOY34638,AOY34637,AOY34636,AOY34635,AOY34634,AOY34632,ANW82548,ANW82545,ANW82536,ANW82535,ANW82528,ANW82527,ANW82526,ANW82525,ANW82520,ANW82519,ABK58193,BAB03599,ABK58192,ABK58191,CAD60656
AAO60070__AY222840.1	AY222840.1_Macrobrachium rosenbergii nodavirus	222557	Macrobrachium rosenbergii nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	AY222840.1	undef	unclassified Nodaviridae	AY222840.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	AAO60070	AY222840.1	AQV12016,AFN53608,AFN53607,AFN53606,AFN53605,AFN53604,AFN53603,NP_919038,ALD89150,AHM92901,AFH35954,ACY26145,AFH35952,ADB77879,ADZ53030,ABW38171,ABW38170,ABW38169,ABW38168,AAO60070,AAQ54759,ABG25924,AAO60070.1,AHZ86979,ABA41466
ABS29340__EF690538.1	EF690538.1_Flock house virus	12287	Flock house virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	EF690538.1	undef	Alphanodavirus	EF690538.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	ABS29340	EF690538.1	ABS29340
AAT28125__AY547549.1	AY547549.1_Melanogrammus aeglefinus nervous necrosis virus	278812	Melanogrammus aeglefinus nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AY547549.1	unclassified Betanodavirus	unclassified Betanodavirus	AY547549.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AAT28125	AY547549.1	AAT28125,AAT28124,AAL38172,AOY34674,AOY34670,AOY34669,AOY34659,AOY34658,AOY34653,AOY34633,ANW82541,ANW82540,ANW82530,CAJ30010
CAA34081.1__X15959.1	X15959.1_Flock house virus	12287	Flock house virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	X15959.1	undef	Alphanodavirus	X15959.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	CAA34081.1	X15959.1	P12870,4FTSC,4FTSB,4FTSA,4FTEC,4FTEB,4FTEA,NP_689442,CAA34081,CAA34081.1,4FTBC,4FTBB,4FTBA,4FSJC,4FSJB,4FSJA,3LOBC,3LOBB,3LOBA
AHC98224__HM030971.2	HM030971.2_Orsay virus	977912	Orsay virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	HM030971.2	undef	unclassified Nodaviridae	HM030971.2_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	AHC98224	HM030971.2	AHC98224,YP_009173860,4NWVB,4NWVC,4NWVA,YP_009173861,ADW54429,4NWWC,4NWWB,4NWWA
ABO33432.2__EF137180.2	EF137180.2_Penaeus vannamei nodavirus	430911	Penaeus vannamei nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	EF137180.2	undef	unclassified Nodaviridae	EF137180.2_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ABO33432.2	EF137180.2	YP_004207809,ABO33432,ABO33432.2
ACY74430__GU144510.1	GU144510.1_Mosquito nodavirus MNV-1	690897	Mosquito nodavirus MNV-1	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	GU144510.1	unclassified Betanodavirus	unclassified Betanodavirus	GU144510.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ACY74430	GU144510.1	ACY74430
ADX87440__JF326478.1	JF326478.1_Mullus barbatus barbatus betanodavirus	985094	Mullus barbatus barbatus betanodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	JF326478.1	unclassified Betanodavirus	unclassified Betanodavirus	JF326478.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ADX87440	JF326478.1	ADX87440,ADX87437,ADX87435
BAB64331.1__AB056572.1	AB056572.1_Striped Jack nervous necrosis virus	35297	Striped Jack nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	AB056572.1	undef	Betanodavirus	AB056572.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	BAB64331.1	AB056572.1	Q91D83,YP_009047240,ACX71283,AET07040,AET07023,NP_599249,ACX71282,ACX71281,ACX71280,ACX71279,ACX71278,BAA06491,BAB64331,2116344A,BAB64331.1,ALE77053,AAG09224,ARO92022,ARO92021,ARO92015,ARO92020,ARO92013,ARO92019,AET07042,AET07041,AET07039,AET07038,AET07037,AET07036,AET07035,AET07034,AET07033,AET07032,AET07031,AET07030,AET07029,AET07028,AET07027,AET07026,AET07025,AET07024,AET07022,AET07021,AET07020,AET07019,ARO92024,ARO92023,ARO92014,CAJ32707,AFV60934,ACX85469,ACX85468,ACX85467,ACX85466,ACX85465,ACX85464,ACX85463,ACX85462,ACX85461,CAK22357,CAK22356,CAK22355,CAK22354,CAK22353,CAK22352,CAK22351,CAJ33879,CAJ33878,CAJ33877,CAJ33876,CAJ33875,CAJ33874,CAJ33873,CAJ33872,CAJ33871,CAJ33870,CAJ33869,CAJ33868,CAJ33867,CAJ33866,CAJ33865,CAJ33864,CAJ33863,CAJ33862,CAJ33861,CAJ33860,CAJ33859,CAJ33858,CAJ33857,CAJ33856,BAX01502,BAX01499,BAX01497,BAX01493,BAX01489,CAG27337,CAG27337.1
	midge1-541_1	midge3-NODE_237
	midge1-541_2
AGD80031__KC136294.1	KC136294.1_Zebrafish nervous necrosis virus	1286775	Zebrafish nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	KC136294.1	unclassified Betanodavirus	unclassified Betanodavirus	KC136294.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AGD80031	KC136294.1	AGD80031
CAA34082.1__X15960.1	X15960.1_Boolarra virus	12286	Boolarra virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	X15960.1	undef	Alphanodavirus	X15960.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	CAA34082.1	X15960.1	P12869,NP_689443,CAA34082,CAA34082.1
CAE55208__AJ608266.2	AJ608266.2_Turbot nodavirus	255685	Turbot nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AJ608266.2	unclassified Betanodavirus	unclassified Betanodavirus	AJ608266.2_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	CAE55208	AJ608266.2	CAE55208,CAE55208.2
